X1,X2,X3,Y,Nor _X1,Nor_X2,Nor_X3,Nor_Y,epoch:1,EPOCH:2
5362.86,5278.92,5461.99,5416.77,0.063925926,0.052556441,0.077352863,0.071227915,0.098777671,0.099077521
5416.77,5362.86,5278.92,5450.28,0.071227915,0.063925926,0.052556441,0.07576677,0.098752465,0.099051199
5450.28,5416.77,5362.86,5465.3,0.07576677,0.071227915,0.063925926,0.077801195,0.098827393,0.0991312
5465.3,5450.28,5416.77,5371.22,0.077801195,0.07576677,0.071227915,0.06505827,0.093731757,0.093967327
5371.22,5465.3,5450.28,5384.65,0.06505827,0.077801195,0.07576677,0.066877333,0.093645454,0.093876253
5384.65,5371.22,5465.3,5202.28,0.066877333,0.06505827,0.077801195,0.042175725,0.077042219,0.077151038
5202.28,5384.65,5371.22,5318.49,0.042175725,0.066877333,0.06505827,0.057916109,0.076836974,0.076934476
5318.49,5202.28,5384.65,5305.89,0.057916109,0.042175725,0.066877333,0.056209467,0.076954062,0.077056571
5305.89,5318.49,5202.28,5264.91,0.056209467,0.057916109,0.042175725,0.050658818,0.07687043,0.076968924
5264.91,5305.89,5318.49,5249.32,0.050658818,0.056209467,0.057916109,0.048547187,0.076876829,0.076975795
5249.32,5264.91,5305.89,5104.3,0.048547187,0.050658818,0.056209467,0.028904553,0.067668781,0.067730893
5104.3,5249.32,5264.91,5081.47,0.028904553,0.048547187,0.050658818,0.02581228,0.066150739,0.066201628
5081.47,5104.3,5249.32,5089.36,0.02581228,0.028904553,0.048547187,0.026880963,0.06613058,0.06617935
5089.36,5081.47,5104.3,5150.55,0.026880963,0.02581228,0.028904553,0.035169012,0.066089011,0.066135174
5150.55,5089.36,5081.47,5105.78,0.035169012,0.026880963,0.02581228,0.029105015,0.066131527,0.066179952
5105.78,5150.55,5089.36,5279.17,0.029105015,0.035169012,0.026880963,0.052590303,0.06609565,0.066142627
5279.17,5105.78,5150.55,5265.96,0.052590303,0.029105015,0.035169012,0.050801038,0.066260599,0.066316087
5265.96,5279.17,5105.78,5280.96,0.050801038,0.052590303,0.029105015,0.052832755,0.066229895,0.06628491
5280.96,5265.96,5279.17,5348.4,0.052832755,0.050801038,0.052590303,0.061967352,0.06630123,0.06636023
5348.4,5280.96,5265.96,5352.7,0.061967352,0.052832755,0.050801038,0.062549777,0.066352342,0.066414136
5352.7,5348.4,5280.96,5400.1,0.062549777,0.061967352,0.052832755,0.068970001,0.066359188,0.066421851
5400.1,5352.7,5348.4,5390.69,0.068970001,0.062549777,0.061967352,0.067695438,0.066421396,0.06648751
5390.69,5400.1,5352.7,5409.5,0.067695438,0.068970001,0.062549777,0.07024321,0.066413748,0.0664798
5409.5,5390.69,5400.1,5424.01,0.07024321,0.067695438,0.068970001,0.072208557,0.066445781,0.066513551
5424.01,5409.5,5390.69,5454.18,0.072208557,0.07024321,0.067695438,0.076295016,0.066454178,0.066522511
5454.18,5424.01,5409.5,5485.55,0.076295016,0.072208557,0.07024321,0.080544012,0.066485368,0.066555495
5485.55,5454.18,5424.01,5473.47,0.080544012,0.076295016,0.072208557,0.078907803,0.066515711,0.066587693
5473.47,5485.55,5454.18,5474.62,0.078907803,0.080544012,0.076295016,0.079063568,0.066515059,0.066587282
5474.62,5473.47,5485.55,5439.68,0.079063568,0.078907803,0.080544012,0.074331023,0.066527039,0.066599868
5439.68,5474.62,5473.47,5388.3,0.074331023,0.079063568,0.078907803,0.067371717,0.066493689,0.066564731
5388.3,5439.68,5474.62,5379.13,0.067371717,0.074331023,0.079063568,0.066129661,0.066452131,0.066520715
5379.13,5388.3,5439.68,5389.41,0.066129661,0.067371717,0.074331023,0.067522064,0.066433982,0.066501176
5389.41,5379.13,5388.3,5440.63,0.067522064,0.066129661,0.067371717,0.074459699,0.066425336,0.066491916
